NAME,P0,P1
J0002+6216,0.115364,5.97e-15
J0006+1834,0.693748,2.1e-15
J0007+7303,0.315873,3.6e-13
J0011+08,2.55287,
J0012+5431,3.025301,1.28e-16
B0011+47,1.240699,5.64e-16
J0021-0909,2.314131,1.04e-15
J0023+0923,0.00305,1.14e-20
B0021-72C,0.005757,-4.99e-20
B0021-72D,0.005358,-3.4200000000000005e-21
B0021-72E,0.003536,9.85e-20
B0021-72F,0.002624,6.45e-20
B0021-72G,0.00404,-4.22e-20
B0021-72H,0.00321,-1.8300000000000003e-21
B0021-72I,0.003485,-4.59e-20
B0021-72J,0.002101,-9.790000000000001e-21
B0021-72L,0.004346,-1.22e-19
B0021-72M,0.003677,-3.84e-20
B0021-72N,0.003054,-2.19e-20
J0024-7204O,0.002643,3.03e-20
J0024-7204P,0.003643,6.64e-19
J0024-7204Q,0.004033,3.4e-20
J0024-7204R,0.00348,1.48e-19
J0024-7204S,0.00283,-1.21e-19
J0024-7204T,0.007588,2.94e-19
J0024-7204U,0.004343,9.52e-20
J0024-7204V,0.00481,
J0024-7204W,0.002352,-8.66e-20
J0024-7204X,0.004772,1.84e-20
J0024-7204Y,0.002197,-3.52e-20
J0024-7204Z,0.004554,-4.540000000000001e-21
J0024-7204aa,0.00184,
J0024-7204ab,0.003705,9.82e-21
J0024-7204ac,0.00274,
J0024-7204ad,0.00374,
J0026+6320,0.318358,1.51e-16
J0026-1955,1.30615,
J0030+0451,0.004865,1.02e-20
J0032+6946,0.036804,
J0033+57,0.315,
J0033+61,0.912,
J0034-0534,0.001877,4.97e-21
B0031-07,0.942951,4.08e-16
J0036-1033,0.900009,2.13e-16
J0038-2501,0.256926,7.6e-19
J0039+35,0.5367,
B0037+56,1.118225,2.88e-15
J0040-7326,0.398657,5.61e-15
J0040-7335,0.145218,2.39e-14
J0040-7337,0.059889,3.4e-14
J0043-7319,0.937434,9.33e-15
J0044-7314,0.396913,1.76e-15
J0045-7042,0.632336,2.49e-15
J0045-7319,0.926276,4.46e-15
B0045+33,1.217094,2.35e-15
J0048-7317,0.079314,3.3e-14
J0050+03,1.36656,
J0051+0423,0.354732,7e-18
J0051-7204,0.191447,1.38e-14
J0054+66,1.39,
J0054+6650,1.390217,5.55e-15
J0054+69,,
J0054+6946,0.832911,7.19e-16
J0054-7228,0.290945,9.56e-15
B0052+51,2.115171,9.54e-15
B0053+47,0.472037,3.33e-15
J0057-7201,0.738062,1e-16
J0058+4950,0.996023,8.04e-16
J0058+6125,0.637,
J0058-7218,0.021766,2.89e-14
J0059+69,1.1459,
J0100+8023,1.493601,3.54e-16
J0100-7211,8.020392,1.88e-11
J0101-6422,0.002573,5.16e-21
J0102+4839,0.002964,1.14e-20
B0059+65,1.679164,5.95e-15
J0103+54,0.354304,
J0104+64,1.386,
J0105-7208,0.306737,2.36e-14
J0106+4855,0.083157,4.28e-16
J0107+1322,1.197383,6.87e-16
B0105+65,1.28366,1.31e-14
B0105+68,1.071118,4.81e-17
J0108-1431,0.807565,7.7e-17
J0109+11,0.4327,
J0110-22,1.262,
J0110-2223,1.26196,6.21e-16
J0111+6624,4.301872,8.36e-15
J0111-7131,0.688542,7.09e-15
J0113-7220,0.325883,4.86e-15
J0115+6325,0.521455,1.6e-15
B0114+58,0.101439,5.85e-15
J0120+1837,1.313385,1.36e-17
J0121+53,2.724785,
J0122+1416,1.388994,3.8e-15
J0125+62,1.70823,
J0125-2327,0.003675,1.84e-20
J0129+36,1.089,
J0131-7310,0.348124,1.76e-15
J0133-6957,0.463474,1.2e-16
J0134-2937,0.136962,7.84e-17
J0137+1654,0.414763,1.22e-17
J0137+6349,0.717963,9.6e-16
J0139+3336,1.247961,2.06e-15
J0139+5621,1.775344,7.91e-14
B0136+57,0.272451,1.07e-14
B0138+59,1.222949,3.91e-16
J0141+63,0.046686,
J0141+6303,0.04668,1.65e-18
J0146+31,0.9381,
J0146+6145,8.688994,1.99e-12
B0144+59,0.196321,2.57e-16
J0149+29,2.654,
B0148-06,1.464665,4.43e-16
J0152+0948,2.746647,1.7e-15
B0149-16,0.832742,1.3e-15
J0154+1833,0.002365,2.92e-21
J0156+04,,
B0153+39,1.811561,1.52e-16
B0154+61,2.351745,1.89e-13
J0158+21,0.5053,
J0201+7005,1.349184,5.51e-15
J0203-0150,0.005173,1.43e-20
J0205+6449,0.065716,1.94e-13
B0203-40,0.630551,1.2e-15
J0209+4331,0.863883,5.72e-17
J0209+5759,1.063906,1.39e-14
J0210+5845,1.766219,1.52e-13
J0211+4235,0.350731,1.11e-18
J0211-8159,3.231999,7.14e-16
J0212+5222,0.376386,6.6e-15
J0212+5321,0.002115,
J0214+5222,0.024575,2.96e-19
J0215+6218,0.54888,6.62e-16
J0218+4232,0.002323,7.74e-20
J0220+3626,1.0297,
J0227+3356,1.240102,2.85e-15
J0229+20,0.8069,
B0226+70,1.46682,3.11e-15
J0241+16,1.5454,
J0242+62,0.592,
J0243+6027,1.473,
J0244+14,2.1281,
J0248+4230,0.002601,1.69e-20
J0248+6021,0.217094,5.51e-14
J0250+5854,23.535378,2.72e-14
J0251+2606,0.002542,7.57e-21
B0254-53,0.447708,3.13e-17
J0301+35,0.56804,
J0302+2252,1.207165,8.25e-17
B0301+19,1.387584,1.3e-15
J0305+11,0.8621,
J0307+7443,0.003156,1.73e-20
J0312-0921,0.003704,1.97e-20
J0317+13,1.9743,
J0318+0253,0.00519,1.76e-20
B0320+39,3.032072,6.36e-16
J0324+5239,0.33662,3.81e-16
J0325+6744,1.364679,1.55e-15
J0329+1654,0.89332,2.15e-16
B0329+54,0.71452,2.05e-15
B0331+45,0.269201,7.35e-18
J0335+6623,1.761934,4.81e-15
J0337+1715,0.002733,1.77e-20
J0337+79,2.05621,
J0340+4130,0.003299,7.050000000000001e-21
J0341+5711,1.888,
J0343+06,1.00764,
B0339+53,1.934478,1.34e-14
J0343-3000,2.597027,3.91e-17
J0344-0901,1.226006,3.47e-15
J0348+0432,0.039123,2.41e-19
J0349+2340,2.420771,1.1e-15
J0355+28,0.36495,
J0357+3205,0.444104,1.3e-14
B0353+52,0.19703,4.77e-16
J0358+4155,0.226484,1.46e-16
B0355+54,0.156384,4.39e-15
J0358+6627,0.091506,1.09e-17
J0359+5414,0.079427,1.67e-14
B0403-76,0.545254,1.54e-15
J0402+4825,0.512194,2.75e-16
J0405+3347,0.063954,1.64e-19
J0406+30,0.0026,
J0406+3039,0.002609,8.310000000000001e-21
B0402+61,0.594576,5.57e-15
J0407+1607,0.025702,7.9e-20
J0408+4955_P,0.01144,
